rating,title,body,author,tag,verified,date,product_handle,featured,photos
5,The breakthrough is real,The learning curve is real but short — about a week if you're average. I genuinely don't remember the last time I used mascara. That's the level of life-changing. Push through day 1 and you're set for life.,Aisyah I.,Monolid · Raya,false,5 weeks ago,inbox-magnetic-eyelashes,false,
5,Inbox convert,"Suka sebab tak rasa heavy. Senang nak ratakan, tak payah cermin pun boleh. Tak boleh hidup tanpa Santai sekarang.",Aleya Aziz,Monolid · Raya,true,9 months ago,inbox-magnetic-eyelashes,false,
4,"Surprised, in a good way",Sister-in-law gave me a pair after I kept complimenting hers. I love that I can re-use them. Strip lashes felt so wasteful. Wish the instructions in the box had a QR code to the demo video. My makeup bag has been forever changed.,Ying,Monolid · Daily,true,5 weeks ago,inbox-magnetic-eyelashes,false,
5,Did not expect to like these as much,"Beli Inbox ikut review IG, sumpah tak menyesal. Casing dia cantik, tak rasa segan letak atas meja dressing. Will repurchase, jangan tanya.",@aida.studio,Monolid · Daily,false,6 months ago,inbox-magnetic-eyelashes,false,
5,Survived my akad,"My ah-ma actually approved, that's a first. Office wear 完全 OK，no one noticed they're magnetic. 比 strip lashes 方便十倍。 推荐给所有 Chinese girls。",Vivian,Monolid · Daily,true,2 days ago,inbox-magnetic-eyelashes,false,
5,Patience pays,"Almost returned them on day 2. Glad I didn't — now my daily. What helped me: do it sitting down, good lighting, no rushing. Patience pays off massively with these.",Jasmine Yeoh,Monolid · Reception,true,5 months ago,inbox-magnetic-eyelashes,false,
5,Survived a 12-hour shift,"Used them for Chinese New Year visiting, no touch-ups all day. Pair with 现有的 eyeliner 也 fine。 Cousin asked which brand, told her Santai, she ordered same night. Will definitely 回购。",Mei,Monolid · Daily,true,10 months ago,inbox-magnetic-eyelashes,false,
5,Glasses-friendly,"Tetiba je nampak ad on IG, panggil bestie suruh beli sekali. Senang pakai under glasses, tak kacau the lens. Hold properly the whole day, no need touch up. 100% recommend lah.",@bee.studio,Monolid · CNY,true,5 weeks ago,inbox-magnetic-eyelashes,false,
5,"Bought it for Raya, kept wearing it after",Bought during the launch sale and have zero regrets. Customer service responded within an hour when I had a question. Worth every ringgit.,Xin Yi L.,Monolid · Raya,false,26 days ago,inbox-magnetic-eyelashes,false,
5,Easier than mascara,"Sister introduced me to these, now my whole 姐妹 group has them. 磁吸力够强，戴一整天都不会掉。 Eyeliner draw 很顺，magnet click 也准。 Worth every cent.",Hui,Monolid · Daily,true,7 months ago,inbox-magnetic-eyelashes,false,
4,"Sits flat, looks natural","Three months in and these still look brand new. The 70L curl lifts my downturned eyes in a way mascara never could. If you're on the fence, just buy them.",Pei F.,Monolid · Akad,true,8 months ago,inbox-magnetic-eyelashes,false,
5,Glasses-friendly,"Pakai first time, jaw dropped weh. Lipat kasi flat, simpan dalam casing, sekejap saja. Stop scrolling and just buy lah.",Vivian,Monolid · Birthday,true,6 weeks ago,inbox-magnetic-eyelashes,false,
5,,比 strip lashes 好太多。,Bee H.,Monolid · Weekend,true,5 weeks ago,inbox-magnetic-eyelashes,false,
5,Lasted through KL humidity,"Replaced my whole strip-lash stash with one pair of these. Looks different in every lighting — flatters daylight, dramatic at night. Worth more than the asking price honestly.",V. Lim,Monolid · Raya,true,10 months ago,inbox-magnetic-eyelashes,false,
3,Works after a few tries,"Good lashes but I needed to watch the tutorial twice. The magnets do most of the work, you just hold the band close and they snap into place. The outer corner needs an extra press, otherwise it'll lift. Stick with it through the first week and it pays off.",Joyce H.,Monolid · CNY,true,5 months ago,inbox-magnetic-eyelashes,false,
5,Life-changing after the first week,"Was about to message customer service to ask for a refund. Then watched the video properly. If you struggle on day 1, stick with it — the breakthrough happens around day 3-4. Take it from someone who was about to give up.",Farah R.,Monolid · Travel,true,2 months ago,inbox-magnetic-eyelashes,false,
5,Glasses-friendly,"My beautician was the one who introduced me to Santai. Trust the experts. Sits completely flat on my lid, no gap, no awkward corner-lift. No glue means no panda eyes at the end of the day. Just go for it.",S. Sim,Monolid · Birthday,false,6 weeks ago,inbox-magnetic-eyelashes,false,
5,Compliments every time,My makeup routine just got 8 minutes shorter. I love that I can re-use them. Strip lashes felt so wasteful. My new daily.,Joyce Heng,Monolid · First-timer,true,10 months ago,inbox-magnetic-eyelashes,false,
5,Life-changing after the first week,"Bought, struggled, watched a tutorial, fell completely in love. The breakthrough happens when you stop thinking and just trust the magnet click. The learning curve is brief. The payoff is enormous.",Liyana R.,Monolid · Raya,true,7 weeks ago,inbox-magnetic-eyelashes,false,
5,Compliments every time,"Okay first of all, this is so gerek. Liner dia draw smooth, tak skip-skip macam yang lain. Will get another pair next month.",Crystal Yong,Monolid · Daily,false,2 weeks ago,inbox-magnetic-eyelashes,false,
5,Better than extensions,"Beli untuk akad sister, dia minta lagi second pair untuk reception. Pakai pergi kerja, balik rumah masih on the dot. Sangat berbaloi-baloi.",Michelle W.,Monolid · Diwali,true,4 weeks ago,inbox-magnetic-eyelashes,false,
5,Worth pushing through,Felt like I was failing for 3 days. Then it just clicked. Cancelled my eyelash extension appointments. These are that good once you've got the hang. Three days of patience for a lifetime of effortless lashes. Take the trade.,Joyce G.,Monolid · Date night,true,3 months ago,inbox-magnetic-eyelashes,false,
5,"Surprised, in a good way",Got these as a gift and ended up ordering my own pair. Genuinely the lightest lash I've ever worn. No droop by end of day. Pairs perfectly with a winged liner if you're already used to drawing one. Will be repurchasing the moment my pair gives out.,Hui Ying Ooi,Monolid · Travel,true,2 months ago,inbox-magnetic-eyelashes,false,
4,Learning curve was worth it,"Took me five attempts on day 1. Six months in, I do it in 20 seconds. Once you nail the angle, it lives in muscle memory forever. The video tutorial saved me. Watch it BEFORE your first attempt, not after. My only regret is not buying them sooner.",Fatin S.,Monolid · Weekend,true,29 days ago,inbox-magnetic-eyelashes,false,
5,Survived my akad,"I have Monolid eyes and was worried the band wouldn't sit flat. Pairs well with my normal eyeliner, the magnetic one is just for the lash band. Already telling everyone who'll listen.",Joanne Y.,Monolid · Office,true,8 months ago,inbox-magnetic-eyelashes,false,
5,Bestie put me on,Sis sumpah bayar mahal pun berbaloi untuk ni. Tak gugur walaupun sambil masak dan menangis tengok cerekarama. Akak pun nak beli lagi sepasang.,Diyana Ahmad,Monolid · Birthday,true,12 days ago,inbox-magnetic-eyelashes,false,
5,"Surprised, in a good way","Mama saya pun pakai, dia kata best. Bila pakai tak nampak palsu, betul-betul nampak macam own lashes. Hari-hari pakai pergi office, sampai weekend pun pakai. Bagi 100 stars boleh tak?",Hawa R.,Monolid · Office,true,6 weeks ago,inbox-magnetic-eyelashes,false,
5,Easier than mascara,"Beli Inbox masa launch, no regrets at all. Apply ikut tutorial, jadi within seconds. Will tag you guys when I do the next review.",@syafiqah_xx,Monolid · Weekend,true,5 months ago,inbox-magnetic-eyelashes,false,
5,Survived my akad,Wore them to my best friend's solemnisation and didn't think about them once. Survived a swim session at Sunway Lagoon. Tested. Bought a second pair as a gift.,Joyce,Monolid · Raya,false,2 weeks ago,inbox-magnetic-eyelashes,false,
5,Did not expect to like these as much,"妈妈试过我的，现在她也要买。 Travel 带着方便，casing 很 sturdy。 Saved me so much morning time, no joke.",Si Min L.,Monolid · Raya,true,8 weeks ago,inbox-magnetic-eyelashes,false,
3,Works after a few tries,"Quality is there, application is not for me. Wish the case was a tiny bit smaller for my handbag. The first application was rough, mostly because I rushed it. Would buy again, learning curve and all.",@eka.my,Monolid · Office,true,5 days ago,inbox-magnetic-eyelashes,false,
5,Worth pushing through,"First time was humbling. By day 3, faster than mascara. The shift from 'this is hard' to 'this is easy' happens overnight. Wild experience. It's a 5-minute job on day 1 and a 30-second job by day 7. Just hang in there. If I can do this, anyone can.",Geetha,Monolid · Daily,true,5 weeks ago,inbox-magnetic-eyelashes,false,
5,Worth the hype,"Pertama kali mencuba bulu mata magnetik dan saya sangat impressed. Tidak meninggalkan sebarang kesan apabila ditanggalkan, tidak seperti gam yang sering merosakkan bulu mata. Sangat berbaloi.",Liyana R.,Monolid · Weekend,true,7 months ago,inbox-magnetic-eyelashes,true,
4,"Surprised, in a good way",I always thought magnetic was a gimmick. Officially wrong. Stayed perfect through a tearful K-drama marathon. Worth it once you get the hang of it.,Aina,Monolid · Date night,true,3 months ago,inbox-magnetic-eyelashes,false,
3,,Average. Will keep trying.,Wen Xin,Monolid · Office,true,2 months ago,inbox-magnetic-eyelashes,false,
5,"Sits flat, looks natural","Cousin's wedding photoshoot was my first wear, photographer was impressed. Held up through a Mehndi ceremony, a sangeet, and the actual wedding day. Removal is gentle enough that I don't lose any of my natural lashes. Worth every cent and then some.",Meera Pillai,Monolid · CNY,false,8 weeks ago,inbox-magnetic-eyelashes,false,
5,Easier than mascara,"I have sensitive eyes and these don't irritate at all. The case is gorgeous, makes me feel like I'm using something premium. Genuinely worth the price.",Vivian G.,Monolid · First-timer,false,21 days ago,inbox-magnetic-eyelashes,false,
5,Bestie put me on,Bought Inbox two months ago and I keep coming back to it. Lifts up the outer corner just enough to balance my eye shape. Local brand done right.,Deepa,Monolid · Birthday,true,8 months ago,inbox-magnetic-eyelashes,false,
4,Easy after the first try,"Worth the wait between launches. Pre-ordered immediately. I usually struggle with hooded eye products, but the band sits right. Will repurchase.",Sofea M.,Monolid · Office,true,27 days ago,inbox-magnetic-eyelashes,false,
5,Bestie put me on,"Tengok TikTok girls semua pakai, akhirnya beli sendiri. Pakai pakai pakai, sekarang dah jadi part of muka. Beg saya sekarang ada Santai sebagai essentials. Yes yes yes, beli je.",Sharifah R.,Monolid · Daily,true,9 months ago,inbox-magnetic-eyelashes,false,
5,"Day 1 was rough, day 7 was magic","First try sangat susah, fifth try sangat senang. Promise. Now I think it would actually be harder for me to do strip-lash glue again. Trust the process. It's worth it.",Nurul Z.,Monolid · Daily,true,9 months ago,inbox-magnetic-eyelashes,false,
